
=== Combo 5/999: {'homophily': 0.0, 'defector_frac': 0.0, 'learning_rate': 0.5556} ===
  [seed=0] steps=200, H=0.7904, happy=0/2002
  [seed=1] steps=200, H=0.7904, happy=0/2002
  [seed=2] steps=200, H=0.7904, happy=0/2002
  [seed=3] steps=200, H=0.7904, happy=0/2002
  [seed=4] steps=200, H=0.7904, happy=0/2002
  [seed=5] steps=200, H=0.7904, happy=0/2002
  [seed=6] steps=200, H=0.7904, happy=0/2002
  [seed=7] steps=200, H=0.7904, happy=0/2002
  [seed=8] steps=200, H=0.7904, happy=0/2002
  [seed=9] steps=200, H=0.7904, happy=0/2002
Saved: output/plot_job24066015_combo5_h0.0_d0.0_lr0.5556.png
