density,defector_frac,neighbourhood_count,activation_rate,H_tail_mean,H_tail_std,morans_I_mean,morans_I_std,nb_variance_mean,nb_variance_std,steps_mean,n_seeds
0.05,0.0,5,0.0,0.04048534390457142,0.016802727373821238,0.11462207730871107,0.12086332050073952,0.03894640155832008,0.0233933194368403,150.0,10
0.05,0.0,5,0.1111,0.8544042482068097,0.0341508537306855,0.48056600689151185,0.19064581675172088,0.8681306786721116,0.057271278079417835,460.1,10
0.05,0.0,5,0.2222,0.8637836336547655,0.04070535398952687,0.545366444568765,0.24023960501586308,0.8664510673231824,0.034708874829547626,491.0,10
0.05,0.0,5,0.3333,0.862137706327345,0.05189980136657033,0.4710068251561526,0.1789462719283905,0.8668127794507023,0.0813626728920561,486.4,10
0.05,0.0,5,0.4444,0.858117744203396,0.03419593553575265,0.46322918980689554,0.2523623663190953,0.8649925844033062,0.053584199315021154,474.5,10
0.05,0.0,5,0.5556,0.8614578026965247,0.04469789499523625,0.5068284795146969,0.1666389994985449,0.880193176999498,0.0728564331216854,482.6,10
0.05,0.0,5,0.6667,0.8575995274640563,0.05166146008175712,0.5210393628608829,0.16995750051671765,0.8682446686358267,0.037866556035727264,500.0,10
0.05,0.0,5,0.7778,0.8625617963678514,0.04271644804842233,0.5537133766430629,0.18002885053466505,0.8550573875583105,0.06829315740991927,500.0,10
0.05,0.0,5,0.8889,0.8547989892591742,0.04818018231417211,0.6278045688424527,0.29074234700470125,0.8592850129520041,0.0668684417473831,500.0,10
0.05,0.0,5,1.0,0.8637271341941777,0.027080964849290987,0.5201831010751733,0.22115316862108883,0.8546091624147374,0.054463874259769916,500.0,10
0.05,0.0,26,0.0,0.222388832004241,0.047609055123036245,0.04694886852800745,0.1412667800317406,0.30237224193176443,0.0674314785868618,150.0,10
0.05,0.0,26,0.1111,0.8745021544201353,0.041414025928209114,0.7156689288303181,0.10909353787680318,0.6965154058275518,0.04986238495553491,444.2,10
0.05,0.0,26,0.2222,0.861800605603924,0.05615737114015995,0.6224040910682596,0.18172765014820877,0.6977057668877931,0.1032783417643069,443.2,10
0.05,0.0,26,0.3333,0.8731910142442084,0.050899925217057815,0.6528475038034671,0.19468857693326258,0.681718061944496,0.08533283967929674,442.2,10
